vessel_id,operational_risk_category_pct,operational_risk_score_final,maintenance_risk_score_norm,predicted_high_traffic,weather_risk_score_norm,vessel_label,anomaly_flag,anomaly_score,combined_risk_score,combined_risk_alert
44,High,0.7169695950265912,0.9872583860622346,1,0.0693069306930693,Vessel 44,1,0.14910768763270266,0.7534328209626026,Critical
33,High,0.6155409157107095,0.5452023923030251,1,0.1732673267326732,Vessel 33,1,0.1240682002275516,0.6213223661795841,Critical
103,High,0.3415662650602409,0.1385542168674698,0,1.0,Vessel 103,1,0.0451254313185987,0.30987951807228914,Warning
158,High,0.4940393151553582,0.6467977171845276,0,1.0,Vessel 158,1,0.02224451217052137,0.4928471781864299,Warning
36,High,0.413360101070348,0.442223439211391,0,0.9356435643564356,Vessel 36,1,0.006278360758856905,0.402467764848774,Warning
145,High,0.4739730004354768,0.5799100014515897,0,1.0,Vessel 145,0,-0.003380655793230658,0.46876760052257227,Warning
82,High,0.4437475217535889,0.5435148414888606,0,0.9356435643564356,Vessel 82,0,-0.017105241928892956,0.4389326696686631,Warning
86,Medium,0.1985411379316995,0.1717047832046749,0,0.4900990099009901,Vessel 86,0,-0.05308909119089866,0.18923946452794038,Normal
2,High,0.3720069528467477,0.6261617900172118,0,0.6138613861386139,Vessel 2,0,-0.06258140663821377,0.38502220480223587,Warning
56,Low,0.0622211618752236,0.0341365461847389,0,0.1732673267326732,Vessel 56,0,-0.06442611884962668,0.05733866157700103,Normal
117,Low,0.0036144578313252,0.0120481927710842,0,0.0,Vessel 117,0,-0.06894040697429493,0.0043373493975903,Normal
133,High,0.3709053027009868,0.6769450684092303,0,0.5594059405940593,Vessel 133,0,-0.07055498465022714,0.38914576918177834,Warning
52,Medium,0.2467566886263529,0.3027203152231567,0,0.5198019801980198,Vessel 52,0,-0.0767805158322955,0.24412782833182156,Normal
147,Low,0.0193846041230628,0.0349123767798465,0,0.0297029702970297,Vessel 147,0,-0.0838751998876277,0.020291227917972453,Normal
93,High,0.2997846731783654,0.989381253828875,0,0.0099009900990099,Vessel 93,0,-0.08672208770177192,0.35875150880413753,Warning
34,High,0.3474222535422983,0.935301901246605,0,0.2227722772277227,Vessel 34,0,-0.09749784559746844,0.3946294765279857,Warning
92,Low,0.038428599692176,0.0686893917131942,0,0.0594059405940594,Vessel 92,0,-0.11956318678720024,0.04017372557120534,Normal
126,Low,0.0527093272698071,0.0915393417244396,0,0.0841584158415841,Vessel 126,0,-0.12028668828953415,0.05483535113961012,Normal
146,High,0.2884954451954158,0.9616514839847194,0,0.0,Vessel 146,0,-0.12084952736490928,0.346194534234499,Warning
9,High,0.3274951610979209,0.9183832102603964,0,0.1732673267326732,Vessel 9,0,-0.1381906772169343,0.3756674606442377,Warning
47,Low,0.0912538768937134,0.1408132530120482,0,0.1633663366336633,Vessel 47,0,-0.14475300998265062,0.09316801860908981,Normal
134,Low,0.1018714225925349,0.2603634878497039,0,0.0792079207920792,Vessel 134,0,-0.14631284605514078,0.11432491503183399,Normal
77,High,0.3257385229316294,0.7986663635674777,0,0.2871287128712871,Vessel 77,0,-0.15115220314998495,0.3621733562308266,Warning
49,High,0.3013062149588453,0.8855421686746989,0,0.1188118811881188,Vessel 49,0,-0.15250836348306562,0.3496862698318025,Warning
29,Low,0.0892422977237482,0.148959474260679,0,0.1485148514851485,Vessel 29,0,-0.15338556492348504,0.09223927211998303,Normal
98,Medium,0.2767480498310992,0.9175430043874924,0,0.0049504950495049,Vessel 98,0,-0.1551190389082731,0.33160261029236854,Warning
62,Low,0.1736731093853815,0.2917816517466514,0,0.2871287128712871,Vessel 62,0,-0.15784232896958073,0.1796948599753291,Normal
107,Low,0.1171721991476256,0.2420591456736034,0,0.1485148514851485,Vessel 107,0,-0.16148495304996502,0.12575515382863584,Normal
5,Medium,0.2725137839493568,0.9083792798311894,0,0.0,Vessel 5,0,-0.16574574244576185,0.3270165407392282,Warning
19,Medium,0.2005766753743196,0.3567077297955868,0,0.3118811881188119,Vessel 19,0,-0.16733139853171408,0.20950389163730232,Normal
79,Medium,0.2078708257277194,0.4057740395544442,0,0.2871287128712871,Vessel 79,0,-0.16992965123826576,0.22073211958613456,Normal
157,Medium,0.2776840223351626,0.8414549919422916,0,0.0841584158415841,Vessel 157,0,-0.17609827832563396,0.32480498521803675,Warning
97,Low,0.022564835613641,0.0752161187121366,0,0.0,Vessel 97,0,-0.17612417160356142,0.02707780273636918,Normal
3,Low,0.170445935328888,0.3354798504362277,0,0.2326732673267326,Vessel 3,0,-0.17677853807712707,0.18126779566199244,Normal
39,Low,0.0291673021198718,0.0972243403995729,0,0.0,Vessel 39,0,-0.17679883165786775,0.03500076254384623,Normal
46,High,0.3136565808043799,0.7979971835393523,0,0.2475247524752475,Vessel 46,0,-0.17698701362358737,0.3516354217177312,Warning
144,Low,0.0208612226684515,0.0695374088948385,0,0.0,Vessel 144,0,-0.17752335084807208,0.02503346720214185,Normal
40,Low,0.0215599239061509,0.071866413020503,0,0.0,Vessel 40,0,-0.17952899219775975,0.02587190868738108,Normal
99,High,0.2921021327413754,0.6865450629332975,0,0.2871287128712871,Vessel 99,0,-0.18032682485217844,0.32180968800252174,Warning
27,Low,0.1926213630399184,0.3549424972617744,0,0.2871287128712871,Vessel 27,0,-0.18148762343450858,0.20243276436077343,Normal
148,High,0.3022509439247701,0.8342358196832274,0,0.1732673267326732,Vessel 148,0,-0.18168156300495703,0.3453744000364568,Warning
85,Low,0.0710466867469879,0.2368222891566265,0,0.0,Vessel 85,0,-0.1823847621267184,0.08525602409638554,Normal
35,Low,0.1567749356691262,0.3394148020654045,0,0.1831683168316831,Vessel 35,0,-0.18352988825293282,0.1698130911197832,Normal
118,Low,0.0341365461847389,0.1137884872824632,0,0.0,Vessel 118,0,-0.18430727148769677,0.040963855421686735,Normal
142,Medium,0.2711946273891815,0.6168533784259848,0,0.2871287128712871,Vessel 142,0,-0.18531156957660616,0.2967206815798891,Normal
20,Low,0.0399224014702879,0.1330746715676264,0,0.0,Vessel 20,0,-0.18546067304867825,0.047906881764345495,Normal
18,Low,0.068893756845564,0.2296458561518802,0,0.0,Vessel 18,0,-0.1856222801236585,0.08267250821467687,Normal
101,Low,0.0614457831325301,0.2048192771084337,0,0.0,Vessel 101,0,-0.18574112172797724,0.07373493975903612,Normal
75,Low,0.0512048192771084,0.1706827309236947,0,0.0,Vessel 75,0,-0.1874862085562905,0.06144578313253009,Normal
114,Low,0.1699510914946916,0.5120481927710844,0,0.0544554455445544,Vessel 114,0,-0.18990657308581632,0.1984957652391745,Normal
89,Low,0.1573786335137496,0.3760805935606834,0,0.1485148514851485,Vessel 89,0,-0.1905468664996438,0.17400287506798465,Normal
68,Low,0.1795091818797701,0.4250966128665606,0,0.1732673267326732,Vessel 68,0,-0.19138482193678802,0.19808428558245683,Normal
24,Medium,0.259522562298885,0.8650752076629501,0,0.0,Vessel 24,0,-0.1928649264334631,0.31142707475866205,Warning
50,High,0.2923436952704556,0.7566572020566342,0,0.2178217821782178,Vessel 50,0,-0.19417180084777202,0.3290302561067249,Warning
45,Medium,0.253284424828025,0.7898259705488623,0,0.0544554455445544,Vessel 45,0,-0.19456607934976694,0.29849576523917454,Normal
120,Medium,0.2664534496352956,0.7743167793123715,0,0.1138613861386138,Vessel 120,0,-0.19509347596468424,0.3083580009484933,Warning
87,Medium,0.264599704860157,0.644375253824286,0,0.2376237623762376,Vessel 87,0,-0.19916385686909482,0.2937572695945647,Normal
31,Medium,0.2155298375172345,0.7085318016251052,0,0.0099009900990099,Vessel 31,0,-0.20147630516204929,0.25764570601078046,Normal
