vessel_id,vessel_label,combined_risk_score,combined_risk_alert,anomaly_flag,anomaly_score,operational_risk_score_final,maintenance_risk_score_norm,weather_risk_score_norm,predicted_high_traffic
44,Vessel 44,0.7534328209626026,Critical,1,0.1491076876327026,0.7169695950265912,0.9872583860622346,0.0693069306930693,1
33,Vessel 33,0.6213223661795841,Critical,1,0.1240682002275516,0.6155409157107095,0.5452023923030251,0.1732673267326732,1
158,Vessel 158,0.4928471781864299,Warning,1,0.0222445121705213,0.4940393151553582,0.6467977171845276,1.0,0
145,Vessel 145,0.4687676005225722,Warning,0,-0.0033806557932306,0.4739730004354768,0.5799100014515897,1.0,0
82,Vessel 82,0.4389326696686631,Warning,0,-0.0171052419288929,0.4437475217535889,0.5435148414888606,0.9356435643564356,0
36,Vessel 36,0.402467764848774,Warning,1,0.0062783607588569,0.413360101070348,0.442223439211391,0.9356435643564356,0
34,Vessel 34,0.3946294765279857,Warning,0,-0.0974978455974684,0.3474222535422983,0.935301901246605,0.2227722772277227,0
133,Vessel 133,0.3891457691817783,Warning,0,-0.0705549846502271,0.3709053027009868,0.6769450684092303,0.5594059405940593,0
2,Vessel 2,0.3850222048022358,Warning,0,-0.0625814066382137,0.3720069528467477,0.6261617900172118,0.6138613861386139,0
9,Vessel 9,0.3756674606442377,Warning,0,-0.1381906772169343,0.3274951610979209,0.9183832102603964,0.1732673267326732,0
77,Vessel 77,0.3621733562308266,Warning,0,-0.1511522031499849,0.3257385229316294,0.7986663635674777,0.2871287128712871,0
93,Vessel 93,0.3587515088041375,Warning,0,-0.0867220877017719,0.2997846731783654,0.989381253828875,0.0099009900990099,0
46,Vessel 46,0.3516354217177312,Warning,0,-0.1769870136235873,0.3136565808043799,0.7979971835393523,0.2475247524752475,0
49,Vessel 49,0.3496862698318025,Warning,0,-0.1525083634830656,0.3013062149588453,0.8855421686746989,0.1188118811881188,0
146,Vessel 146,0.346194534234499,Warning,0,-0.1208495273649092,0.2884954451954158,0.9616514839847194,0.0,0
148,Vessel 148,0.3453744000364568,Warning,0,-0.181681563004957,0.3022509439247701,0.8342358196832274,0.1732673267326732,0
98,Vessel 98,0.3316026102923685,Warning,0,-0.1551190389082731,0.2767480498310992,0.9175430043874924,0.0049504950495049,0
50,Vessel 50,0.3290302561067249,Warning,0,-0.194171800847772,0.2923436952704556,0.7566572020566342,0.2178217821782178,0
5,Vessel 5,0.3270165407392282,Warning,0,-0.1657457424457618,0.2725137839493568,0.9083792798311894,0.0,0
157,Vessel 157,0.3248049852180367,Warning,0,-0.1760982783256339,0.2776840223351626,0.8414549919422916,0.0841584158415841,0
99,Vessel 99,0.3218096880025217,Warning,0,-0.1803268248521784,0.2921021327413754,0.6865450629332975,0.2871287128712871,0
24,Vessel 24,0.311427074758662,Warning,0,-0.1928649264334631,0.259522562298885,0.8650752076629501,0.0,0
103,Vessel 103,0.3098795180722891,Warning,1,0.0451254313185987,0.3415662650602409,0.1385542168674698,1.0,0
120,Vessel 120,0.3083580009484933,Warning,0,-0.1950934759646842,0.2664534496352956,0.7743167793123715,0.1138613861386138,0
12,Vessel 12,0.3031571065366081,Warning,0,-0.2063275819513103,0.2707827372953582,0.684787342139643,0.2178217821782178,0
0,Vessel 0,0.3020467411815938,Warning,0,-0.2084790943522306,0.2517056176513282,0.8390187255044275,0.0,0
106,Vessel 106,0.3009825532847485,Warning,0,-0.2062256160618455,0.2669079033148481,0.6966237041188009,0.193069306930693,0
45,Vessel 45,0.2984957652391745,Normal,0,-0.1945660793497669,0.253284424828025,0.7898259705488623,0.0544554455445544,0
65,Vessel 65,0.2975269499048827,Normal,0,-0.2120960969305098,0.2479391249207355,0.8264637497357853,0.0,0
142,Vessel 142,0.2967206815798891,Normal,0,-0.1853115695766061,0.2711946273891815,0.6168533784259848,0.2871287128712871,0
